Date,Country,Stock Index,Commodity Price,Exchange Rate,GDP Growth Rate,Inflation Rate,Interest Rate,Unemployment Rate,FDI,Trade Balance,Debt-to-GDP Ratio,Consumer Confidence Index,Business Confidence Index,Market Capitalization,Credit Rating,Bond Yields,Interest Rate Spread,Corporate Profits,Government Spending,Household Debt,Consumer Spending,Import Value,Export Value,Median Household Income,Poverty Rate,Healthcare Expenditure,Real Estate Prices,Savings Rate,Manufacturing Output,Energy Consumption,Water Usage,Air Quality Index
2023-01-01,USA,3049.6714153011235,67.99389764057082,1.2039169051019536,2.9757850259674252,1.9861544016016226,1.544194064956941,4.200937824058126,510.6925817224487,92.81167612391269,63.006839656858,102.04026423418378,87.10437945182127,20031.425583798187,AA+,1.9714905742957987,0.9795099378103234,2011.5803737084045,4978.584968928881,14914.639161012949,7061.494463903138,957.7873841564794,1284.4518533639834,49425.146263551294,10.107699449106619,9.581500484852652,288814.7651578837,6.267510174320872,1521.013426452828,1053.8357454517663,496.64856861221807,49.199806632103275
2023-01-02,USA,2990.125698063959,71.56562379874916,1.1908640765426102,3.0522208775475215,1.8927480472067328,1.406138284527332,5.23834697394636,449.1480772649319,108.68553729786406,59.526063016594044,103.5128814031518,88.25472459422359,20102.498605405926,AA-,1.9668050565665738,1.0476200637072792,2054.4985028714073,5110.619704995293,14986.842561137017,7081.146499995849,1000.1255232607487,1174.1664799832527,50037.71652629302,10.982738937782507,8.86665603763305,307273.7677577372,5.865542565607438,1578.7002626205988,1053.0713079630866,501.50968970603833,51.90003197067698
2023-01-03,USA,3072.672081604011,70.95287344795223,1.2290280871595587,2.4577978641252214,2.0094499448482392,1.6714480796655395,6.026670950613134,503.7933170804286,100.52276137096293,59.94924673098619,103.74148256800007,94.79845351463854,20001.146395579395,AA-,2.169785678528558,0.943378750232379,2002.377527426439,5021.690551717314,15039.686189283111,7141.525398852239,1009.629407725272,1204.255726094536,50641.32547717598,10.612701030961906,9.489315878661492,288177.4187524098,6.235466075615977,1557.2503582132736,1031.5745366876379,493.4308553714045,56.043083711335434
2023-01-04,USA,3164.1552562176444,71.82221981062786,1.1972427956241605,3.3607789788528493,1.9604676850350111,1.5356695926368367,4.340174350587804,512.1444911010722,103.05963618256611,59.303338952252034,98.14771810878636,89.387523658451,20241.344686352622,AA+,2.1385922192986815,0.9622137817919136,1903.8768913581257,4922.141970476724,15339.659596028238,7123.720250636052,1023.2555011446109,1211.07472290066,50724.496270490265,12.030866145338372,9.665769182460053,299533.9391894022,5.731673541534004,1448.2563166302648,1061.0063364315142,504.4688353003509,39.57513085634381
2023-01-05,USA,2992.382891408531,67.91148622659436,1.2623089196949981,3.2184421149715603,2.002624441377202,1.5625823056157824,5.1238442282095225,525.9349600109729,105.84713028209876,60.16887797417747,103.78065672923965,92.19338309773833,20147.496686880262,AA-,2.0902930034273073,0.9950044877225407,2128.656818029499,5221.603242411245,15409.381257539679,7414.237963960145,1017.9652297537139,1217.4943993498312,50402.8484866267,12.144451268693322,9.373237129692114,293336.44462514744,6.391118259423974,1619.0399670468316,1028.8428549441342,529.5651149521553,45.4644298089281
2023-01-06,USA,2996.3263802812057,72.34014140220748,1.2616089672820476,3.4425032228982055,2.1346778215833324,1.6466815562898416,4.705209290982315,489.03209994818025,108.67517555700505,63.76806458969917,105.61170053733687,104.14068199746629,20255.327981342612,AA-,1.9659082898290372,1.0461882782595282,2113.885419943393,5050.771138590744,15158.765459155353,7048.067737463112,1052.6167972915148,1267.783926580857,50781.25986030482,10.002050342375163,8.158958918532319,305492.254448962,6.922118288542588,1573.9988880432575,1056.5831628193125,520.100782002786,48.45829834602394
2023-01-07,USA,3181.598067908413,75.1465904870866,1.267708662330488,2.3028153524360784,2.257936317393197,1.6143367926628611,5.256327534884888,512.8829398174856,106.20750666135851,56.14130234587169,104.58318568244252,86.8288801634832,20266.12810463735,A+,2.132831622641251,1.0186227230307563,2003.8678030121778,5155.481530004886,15451.388941104547,7009.954844092859,1028.7094981989396,1289.4333077871374,50394.442693431396,6.07011231511737,9.412510162216428,301404.2618643899,6.104927026048108,1578.079047812635,1084.6700020378994,492.257582507904,51.6164350750177
2023-01-08,USA,3104.3508089663555,80.34887468185079,1.2926727445500246,3.8267807515618797,2.145518160545079,1.7014746674679215,5.060110568963198,494.5183414915744,110.726601760332,63.856614173452996,94.87016208628364,85.34333672026577,20184.002422307392,A+,2.2365340692064137,1.0920600532467355,2075.7825644876193,5232.8683227962,15341.80061345388,7171.851984006451,989.0047445083181,1247.8423247770347,51292.819434623154,11.127905826637912,10.085766704135311,307678.3546376091,6.24259604065899,1608.1747534255435,1054.4186284793616,532.1940689377456,51.18019834491112
2023-01-09,USA,2984.5832643239387,78.32321641532097,1.3167590461094678,3.186949868847032,2.001543674413669,1.650008470896333,4.7369100600650125,519.9903508428448,125.56176743030666,62.164314535139255,106.85904715072677,99.1745473548524,20566.820808630244,AA+,2.1112633907170304,1.1188754338303295,2199.7051758525167,5235.0224476751455,15321.727951866098,7084.497227820123,1049.2845065892277,1219.1888957243814,51036.3963111061,9.334930690187281,9.801393931101034,306976.57584140706,6.324648881719702,1590.2815448195804,1046.1097363132883,533.77897095845,51.56809171743534
2023-01-10,USA,3089.7018713166526,84.72323056115532,1.314167333914348,3.589819512416396,2.180645646806255,1.5751750629730408,5.308665477225818,498.82954029225357,120.82645167694477,59.259603378236974,117.87192419619826,92.51605369274154,20721.78922209355,A-,2.302476076393812,1.105924744020324,2208.8086213599777,5351.30968866826,15528.673498817134,7122.172573436485,989.4486038778298,1328.1870093324983,51071.482943732495,9.057974747749556,9.827648772404903,297727.9964185645,6.64372880253076,1632.2973099775036,1009.3342747337147,522.14361369645,54.48777364075253
